Sno,year,state,month,number,date
124,2001,Acre,Julho,3,01-01-2001
125,2002,Acre,Julho,39,01-01-2002
126,2003,Acre,Julho,168,01-01-2003
127,2004,Acre,Julho,42,01-01-2004
128,2005,Acre,Julho,368,01-01-2005
129,2006,Acre,Julho,33,01-01-2006
130,2007,Acre,Julho,29,01-01-2007
131,2008,Acre,Julho,41,01-01-2008
132,2009,Acre,Julho,31,01-01-2009
133,2010,Acre,Julho,126,01-01-2010
134,2011,Acre,Julho,93,01-01-2011
135,2012,Acre,Julho,71,01-01-2012
136,2013,Acre,Julho,54,01-01-2013
137,2014,Acre,Julho,60,01-01-2014
138,2015,Acre,Julho,109,01-01-2015
139,2016,Acre,Julho,533,01-01-2016
140,2017,Acre,Julho,457,01-01-2017
141,1998,Acre,Agosto,130,01-01-1998
142,1999,Acre,Agosto,63,01-01-1999
143,2000,Acre,Agosto,136,01-01-2000
144,2001,Acre,Agosto,396,01-01-2001
145,2002,Acre,Agosto,728,01-01-2002
146,2003,Acre,Agosto,1.976,01-01-2003
147,2004,Acre,Agosto,645,01-01-2004
148,2005,Acre,Agosto,4.198,01-01-2005
149,2006,Acre,Agosto,839,01-01-2006
150,2007,Acre,Agosto,960,01-01-2007
151,2008,Acre,Agosto,445,01-01-2008
152,2009,Acre,Agosto,194,01-01-2009
153,2010,Acre,Agosto,1.682,01-01-2010
154,2011,Acre,Agosto,425,01-01-2011
155,2012,Acre,Agosto,739,01-01-2012
156,2013,Acre,Agosto,679,01-01-2013
157,2014,Acre,Agosto,1.1,01-01-2014
158,2015,Acre,Agosto,1.397,01-01-2015
159,2016,Acre,Agosto,2.188,01-01-2016
160,2017,Acre,Agosto,1.493,01-01-2017
161,1998,Acre,Setembro,509,01-01-1998
162,1999,Acre,Setembro,209,01-01-1999
163,2000,Acre,Setembro,265,01-01-2000
164,2001,Acre,Setembro,290,01-01-2001
165,2002,Acre,Setembro,1.949,01-01-2002
166,2003,Acre,Setembro,3.942,01-01-2003
167,2004,Acre,Setembro,1.978,01-01-2004
168,2005,Acre,Setembro,4.253,01-01-2005
169,2006,Acre,Setembro,2.37,01-01-2006
170,2007,Acre,Setembro,2.08,01-01-2007
171,2008,Acre,Setembro,1.666,01-01-2008
172,2009,Acre,Setembro,1.265,01-01-2009
173,2010,Acre,Setembro,2.531,01-01-2010
174,2011,Acre,Setembro,1.204,01-01-2011
175,2012,Acre,Setembro,1.996,01-01-2012
176,2013,Acre,Setembro,2.136,01-01-2013
177,2014,Acre,Setembro,2.175,01-01-2014
178,2015,Acre,Setembro,2.928,01-01-2015
179,2016,Acre,Setembro,3.586,01-01-2016
180,2017,Acre,Setembro,3.429,01-01-2017
181,1998,Acre,Outubro,44,01-01-1998
182,1999,Acre,Outubro,60,01-01-1999
183,2000,Acre,Outubro,18,01-01-2000
184,2001,Acre,Outubro,137,01-01-2001
185,2002,Acre,Outubro,687,01-01-2002
186,2003,Acre,Outubro,740,01-01-2003
187,2004,Acre,Outubro,461,01-01-2004
188,2005,Acre,Outubro,547,01-01-2005
189,2006,Acre,Outubro,316,01-01-2006
190,2007,Acre,Outubro,203,01-01-2007
191,2008,Acre,Outubro,652,01-01-2008
192,2009,Acre,Outubro,565,01-01-2009
193,2010,Acre,Outubro,292,01-01-2010
194,2011,Acre,Outubro,97,01-01-2011
195,2012,Acre,Outubro,348,01-01-2012
196,2013,Acre,Outubro,258,01-01-2013
197,2014,Acre,Outubro,406,01-01-2014
198,2015,Acre,Outubro,905,01-01-2015
199,2016,Acre,Outubro,509,01-01-2016
200,2017,Acre,Outubro,1.508,01-01-2017
201,1998,Acre,Novembro,0,01-01-1998
202,1999,Acre,Novembro,0,01-01-1999
203,2000,Acre,Novembro,0,01-01-2000
204,2001,Acre,Novembro,1,01-01-2001
205,2002,Acre,Novembro,86,01-01-2002
206,2003,Acre,Novembro,15,01-01-2003
207,2004,Acre,Novembro,10,01-01-2004
208,2005,Acre,Novembro,14,01-01-2005
209,2006,Acre,Novembro,18,01-01-2006
210,2007,Acre,Novembro,7,01-01-2007
211,2008,Acre,Novembro,4,01-01-2008
212,2009,Acre,Novembro,33,01-01-2009
213,2010,Acre,Novembro,39,01-01-2010
214,2011,Acre,Novembro,74,01-01-2011
215,2012,Acre,Novembro,13,01-01-2012
216,2013,Acre,Novembro,79,01-01-2013
217,2014,Acre,Novembro,56,01-01-2014
218,2015,Acre,Novembro,115,01-01-2015
219,2016,Acre,Novembro,46,01-01-2016
220,2017,Acre,Novembro,98,01-01-2017
221,1998,Acre,Dezembro,7,01-01-1998
222,1999,Acre,Dezembro,0,01-01-1999
