Sno,year,state,month,number,date
1763,2006,Espirito Santo,Maio,0,01-01-2006
1764,2007,Espirito Santo,Maio,1,01-01-2007
1765,2008,Espirito Santo,Maio,2,01-01-2008
1766,2009,Espirito Santo,Maio,7,01-01-2009
1767,2010,Espirito Santo,Maio,3,01-01-2010
1768,2011,Espirito Santo,Maio,2,01-01-2011
1769,2012,Espirito Santo,Maio,20,01-01-2012
1770,2013,Espirito Santo,Maio,14,01-01-2013
1771,2014,Espirito Santo,Maio,18,01-01-2014
1772,2015,Espirito Santo,Maio,17,01-01-2015
1773,2016,Espirito Santo,Maio,48,01-01-2016
1774,2017,Espirito Santo,Maio,10,01-01-2017
1775,1998,Espirito Santo,Junho,6,01-01-1998
1776,1999,Espirito Santo,Junho,6,01-01-1999
1777,2000,Espirito Santo,Junho,9,01-01-2000
1778,2001,Espirito Santo,Junho,9,01-01-2001
1779,2002,Espirito Santo,Junho,18,01-01-2002
1780,2003,Espirito Santo,Junho,19,01-01-2003
1781,2004,Espirito Santo,Junho,3,01-01-2004
1782,2005,Espirito Santo,Junho,8,01-01-2005
1783,2006,Espirito Santo,Junho,5,01-01-2006
1784,2007,Espirito Santo,Junho,4,01-01-2007
1785,2008,Espirito Santo,Junho,4,01-01-2008
1786,2009,Espirito Santo,Junho,12,01-01-2009
1787,2010,Espirito Santo,Junho,3,01-01-2010
1788,2011,Espirito Santo,Junho,7,01-01-2011
1789,2012,Espirito Santo,Junho,15,01-01-2012
1790,2013,Espirito Santo,Junho,22,01-01-2013
1791,2014,Espirito Santo,Junho,9,01-01-2014
1792,2015,Espirito Santo,Junho,18,01-01-2015
1793,2016,Espirito Santo,Junho,49,01-01-2016
1794,2017,Espirito Santo,Junho,37,01-01-2017
1795,1998,Espirito Santo,Julho,37,01-01-1998
1796,1999,Espirito Santo,Julho,9,01-01-1999
1797,2000,Espirito Santo,Julho,16,01-01-2000
1798,2001,Espirito Santo,Julho,12,01-01-2001
1799,2002,Espirito Santo,Julho,9,01-01-2002
1800,2003,Espirito Santo,Julho,27,01-01-2003
1801,2004,Espirito Santo,Julho,4,01-01-2004
1802,2005,Espirito Santo,Julho,9,01-01-2005
1803,2006,Espirito Santo,Julho,11,01-01-2006
1804,2007,Espirito Santo,Julho,13,01-01-2007
1805,2008,Espirito Santo,Julho,5,01-01-2008
1806,2009,Espirito Santo,Julho,25,01-01-2009
1807,2010,Espirito Santo,Julho,5,01-01-2010
1808,2011,Espirito Santo,Julho,18,01-01-2011
1809,2012,Espirito Santo,Julho,35,01-01-2012
1810,2013,Espirito Santo,Julho,20,01-01-2013
1811,2014,Espirito Santo,Julho,17,01-01-2014
1812,2015,Espirito Santo,Julho,30,01-01-2015
1813,2016,Espirito Santo,Julho,42,01-01-2016
1814,2017,Espirito Santo,Julho,3,01-01-2017
1815,1998,Espirito Santo,Agosto,38,01-01-1998
1816,1999,Espirito Santo,Agosto,60,01-01-1999
1817,2000,Espirito Santo,Agosto,26,01-01-2000
1818,2001,Espirito Santo,Agosto,30,01-01-2001
1819,2002,Espirito Santo,Agosto,60,01-01-2002
1820,2003,Espirito Santo,Agosto,118,01-01-2003
1821,2004,Espirito Santo,Agosto,12,01-01-2004
1822,2005,Espirito Santo,Agosto,12,01-01-2005
1823,2006,Espirito Santo,Agosto,29,01-01-2006
1824,2007,Espirito Santo,Agosto,82,01-01-2007
1825,2008,Espirito Santo,Agosto,13,01-01-2008
1826,2009,Espirito Santo,Agosto,17,01-01-2009
1827,2010,Espirito Santo,Agosto,39,01-01-2010
1828,2011,Espirito Santo,Agosto,93,01-01-2011
1829,2012,Espirito Santo,Agosto,12,01-01-2012
1830,2013,Espirito Santo,Agosto,53,01-01-2013
1831,2014,Espirito Santo,Agosto,47,01-01-2014
1832,2015,Espirito Santo,Agosto,35,01-01-2015
1833,2016,Espirito Santo,Agosto,78,01-01-2016
1834,2017,Espirito Santo,Agosto,30,01-01-2017
1835,1998,Espirito Santo,Setembro,108,01-01-1998
1836,1999,Espirito Santo,Setembro,64,01-01-1999
1837,2000,Espirito Santo,Setembro,14,01-01-2000
1838,2001,Espirito Santo,Setembro,38,01-01-2001
1839,2002,Espirito Santo,Setembro,46,01-01-2002
1840,2003,Espirito Santo,Setembro,252,01-01-2003
1841,2004,Espirito Santo,Setembro,47,01-01-2004
1842,2005,Espirito Santo,Setembro,8,01-01-2005
1843,2006,Espirito Santo,Setembro,87,01-01-2006
1844,2007,Espirito Santo,Setembro,63,01-01-2007
1845,2008,Espirito Santo,Setembro,78,01-01-2008
1846,2009,Espirito Santo,Setembro,57,01-01-2009
1847,2010,Espirito Santo,Setembro,53,01-01-2010
1848,2011,Espirito Santo,Setembro,108,01-01-2011
1849,2012,Espirito Santo,Setembro,48,01-01-2012
1850,2013,Espirito Santo,Setembro,30,01-01-2013
1851,2014,Espirito Santo,Setembro,61,01-01-2014
1852,2015,Espirito Santo,Setembro,228,01-01-2015
1853,2016,Espirito Santo,Setembro,128,01-01-2016
1854,2017,Espirito Santo,Setembro,58,01-01-2017
1855,1998,Espirito Santo,Outubro,20,01-01-1998
1856,1999,Espirito Santo,Outubro,23,01-01-1999
1857,2000,Espirito Santo,Outubro,88,01-01-2000
1858,2001,Espirito Santo,Outubro,19,01-01-2001
1859,2002,Espirito Santo,Outubro,113,01-01-2002
1860,2003,Espirito Santo,Outubro,159,01-01-2003
1861,2004,Espirito Santo,Outubro,48,01-01-2004
1862,2005,Espirito Santo,Outubro,62,01-01-2005
1863,2006,Espirito Santo,Outubro,10,01-01-2006
1864,2007,Espirito Santo,Outubro,79,01-01-2007
1865,2008,Espirito Santo,Outubro,100,01-01-2008
1866,2009,Espirito Santo,Outubro,13,01-01-2009
1867,2010,Espirito Santo,Outubro,32,01-01-2010
1868,2011,Espirito Santo,Outubro,38,01-01-2011
1869,2012,Espirito Santo,Outubro,62,01-01-2012
1870,2013,Espirito Santo,Outubro,37,01-01-2013
1871,2014,Espirito Santo,Outubro,89,01-01-2014
1872,2015,Espirito Santo,Outubro,307,01-01-2015
1873,2016,Espirito Santo,Outubro,58,01-01-2016
1874,2017,Espirito Santo,Outubro,56,01-01-2017
1875,1998,Espirito Santo,Novembro,4,01-01-1998
1876,1999,Espirito Santo,Novembro,9,01-01-1999
1877,2000,Espirito Santo,Novembro,3,01-01-2000
1878,2001,Espirito Santo,Novembro,3,01-01-2001
1879,2002,Espirito Santo,Novembro,22,01-01-2002
1880,2003,Espirito Santo,Novembro,49,01-01-2003
1881,2004,Espirito Santo,Novembro,42,01-01-2004
1882,2005,Espirito Santo,Novembro,0,01-01-2005
1883,2006,Espirito Santo,Novembro,0,01-01-2006
1884,2007,Espirito Santo,Novembro,112,01-01-2007
1885,2008,Espirito Santo,Novembro,3,01-01-2008
1886,2009,Espirito Santo,Novembro,18,01-01-2009
1887,2010,Espirito Santo,Novembro,3,01-01-2010
1888,2011,Espirito Santo,Novembro,6,01-01-2011
1889,2012,Espirito Santo,Novembro,7,01-01-2012
1890,2013,Espirito Santo,Novembro,11,01-01-2013
1891,2014,Espirito Santo,Novembro,20,01-01-2014
1892,2015,Espirito Santo,Novembro,141,01-01-2015
1893,2016,Espirito Santo,Novembro,8,01-01-2016
1894,2017,Espirito Santo,Novembro,3,01-01-2017
1895,1998,Espirito Santo,Dezembro,5,01-01-1998
1896,1999,Espirito Santo,Dezembro,0,01-01-1999
1897,2000,Espirito Santo,Dezembro,3,01-01-2000
1898,2001,Espirito Santo,Dezembro,1,01-01-2001
1899,2002,Espirito Santo,Dezembro,12,01-01-2002
1900,2003,Espirito Santo,Dezembro,18,01-01-2003
1901,2004,Espirito Santo,Dezembro,9,01-01-2004
1902,2005,Espirito Santo,Dezembro,5,01-01-2005
1903,2006,Espirito Santo,Dezembro,0,01-01-2006
1904,2007,Espirito Santo,Dezembro,14,01-01-2007
1905,2008,Espirito Santo,Dezembro,1,01-01-2008
1906,2009,Espirito Santo,Dezembro,32,01-01-2009
1907,2010,Espirito Santo,Dezembro,10,01-01-2010
1908,2011,Espirito Santo,Dezembro,1,01-01-2011
1909,2012,Espirito Santo,Dezembro,18,01-01-2012
1910,2013,Espirito Santo,Dezembro,9,01-01-2013
1911,2014,Espirito Santo,Dezembro,28,01-01-2014
1912,2015,Espirito Santo,Dezembro,61,01-01-2015
1913,2016,Espirito Santo,Dezembro,12,01-01-2016
1914,1998,Goias,Janeiro,0,01-01-1998
1915,1999,Goias,Janeiro,14,01-01-1999
1916,2000,Goias,Janeiro,10,01-01-2000
1917,2001,Goias,Janeiro,29,01-01-2001
1918,2002,Goias,Janeiro,12,01-01-2002
1919,2003,Goias,Janeiro,14,01-01-2003
1920,2004,Goias,Janeiro,10,01-01-2004
1921,2005,Goias,Janeiro,27,01-01-2005
1922,2006,Goias,Janeiro,85,01-01-2006
1923,2007,Goias,Janeiro,28,01-01-2007
1924,2008,Goias,Janeiro,23,01-01-2008
1925,2009,Goias,Janeiro,30,01-01-2009
1926,2010,Goias,Janeiro,59,01-01-2010
1927,2011,Goias,Janeiro,39,01-01-2011
1928,2012,Goias,Janeiro,21,01-01-2012
1929,2013,Goias,Janeiro,33,01-01-2013
1930,2014,Goias,Janeiro,80,01-01-2014
1931,2015,Goias,Janeiro,118,01-01-2015
1932,2016,Goias,Janeiro,52,01-01-2016
1933,2017,Goias,Janeiro,53,01-01-2017
1934,1998,Goias,Fevereiro,0,01-01-1998
1935,1999,Goias,Fevereiro,334,01-01-1999
1936,2000,Goias,Fevereiro,11,01-01-2000
1937,2001,Goias,Fevereiro,9,01-01-2001
1938,2002,Goias,Fevereiro,9,01-01-2002
1939,2003,Goias,Fevereiro,47,01-01-2003
1940,2004,Goias,Fevereiro,11,01-01-2004
1941,2005,Goias,Fevereiro,84,01-01-2005
1942,2006,Goias,Fevereiro,21,01-01-2006
1943,2007,Goias,Fevereiro,13,01-01-2007
1944,2008,Goias,Fevereiro,25,01-01-2008
1945,2009,Goias,Fevereiro,29,01-01-2009
1946,2010,Goias,Fevereiro,86,01-01-2010
1947,2011,Goias,Fevereiro,45,01-01-2011
1948,2012,Goias,Fevereiro,37,01-01-2012
1949,2013,Goias,Fevereiro,86,01-01-2013
1950,2014,Goias,Fevereiro,44,01-01-2014
1951,2015,Goias,Fevereiro,53,01-01-2015
1952,2016,Goias,Fevereiro,117,01-01-2016
1953,2017,Goias,Fevereiro,75,01-01-2017
1954,1998,Goias,Março,0,01-01-1998
1955,1999,Goias,Março,1,01-01-1999
1956,2000,Goias,Março,4,01-01-2000
1957,2001,Goias,Março,10,01-01-2001
1958,2002,Goias,Março,48,01-01-2002
1959,2003,Goias,Março,29,01-01-2003
1960,2004,Goias,Março,36,01-01-2004
1961,2005,Goias,Março,36,01-01-2005
1962,2006,Goias,Março,29,01-01-2006
1963,2007,Goias,Março,49,01-01-2007
1964,2008,Goias,Março,20,01-01-2008
1965,2009,Goias,Março,32,01-01-2009
1966,2010,Goias,Março,65,01-01-2010
1967,2011,Goias,Março,19,01-01-2011
1968,2012,Goias,Março,57,01-01-2012
1969,2013,Goias,Março,79,01-01-2013
1970,2014,Goias,Março,80,01-01-2014
1971,2015,Goias,Março,76,01-01-2015
1972,2016,Goias,Março,136,01-01-2016
1973,2017,Goias,Março,115,01-01-2017
1974,1998,Goias,Abril,0,01-01-1998
1975,1999,Goias,Abril,25,01-01-1999
1976,2000,Goias,Abril,16,01-01-2000
1977,2001,Goias,Abril,49,01-01-2001
1978,2002,Goias,Abril,78,01-01-2002
1979,2003,Goias,Abril,87,01-01-2003
1980,2004,Goias,Abril,32,01-01-2004
1981,2005,Goias,Abril,55,01-01-2005
1982,2006,Goias,Abril,22,01-01-2006
1983,2007,Goias,Abril,17,01-01-2007
1984,2008,Goias,Abril,36,01-01-2008
1985,2009,Goias,Abril,11,01-01-2009
1986,2010,Goias,Abril,105,01-01-2010
1987,2011,Goias,Abril,71,01-01-2011
1988,2012,Goias,Abril,89,01-01-2012
1989,2013,Goias,Abril,42,01-01-2013
1990,2014,Goias,Abril,138,01-01-2014
1991,2015,Goias,Abril,89,01-01-2015
1992,2016,Goias,Abril,167,01-01-2016
1993,2017,Goias,Abril,60,01-01-2017
1994,1998,Goias,Maio,0,01-01-1998
1995,1999,Goias,Maio,99,01-01-1999
1996,2000,Goias,Maio,58,01-01-2000
1997,2001,Goias,Maio,85,01-01-2001
1998,2002,Goias,Maio,171,01-01-2002
1999,2003,Goias,Maio,57,01-01-2003
2000,2004,Goias,Maio,157,01-01-2004
2001,2005,Goias,Maio,164,01-01-2005
2002,2006,Goias,Maio,33,01-01-2006
2003,2007,Goias,Maio,94,01-01-2007
2004,2008,Goias,Maio,41,01-01-2008
2005,2009,Goias,Maio,104,01-01-2009
2006,2010,Goias,Maio,239,01-01-2010
2007,2011,Goias,Maio,136,01-01-2011
2008,2012,Goias,Maio,103,01-01-2012
2009,2013,Goias,Maio,150,01-01-2013
2010,2014,Goias,Maio,210,01-01-2014
2011,2015,Goias,Maio,129,01-01-2015
2012,2016,Goias,Maio,233,01-01-2016
2013,2017,Goias,Maio,135,01-01-2017
2014,1998,Goias,Junho,172,01-01-1998
2015,1999,Goias,Junho,250,01-01-1999
2016,2000,Goias,Junho,222,01-01-2000
2017,2001,Goias,Junho,212,01-01-2001
2018,2002,Goias,Junho,302,01-01-2002
2019,2003,Goias,Junho,321,01-01-2003
2020,2004,Goias,Junho,422,01-01-2004
2021,2005,Goias,Junho,189,01-01-2005
2022,2006,Goias,Junho,70,01-01-2006
2023,2007,Goias,Junho,186,01-01-2007
2024,2008,Goias,Junho,55,01-01-2008
2025,2009,Goias,Junho,179,01-01-2009
2026,2010,Goias,Junho,278,01-01-2010
2027,2011,Goias,Junho,314,01-01-2011
2028,2012,Goias,Junho,245,01-01-2012
2029,2013,Goias,Junho,192,01-01-2013
2030,2014,Goias,Junho,318,01-01-2014
2031,2015,Goias,Junho,277,01-01-2015
2032,2016,Goias,Junho,289,01-01-2016
2033,2017,Goias,Junho,442,01-01-2017
2034,1998,Goias,Julho,512,01-01-1998
2035,1999,Goias,Julho,311,01-01-1999
2036,2000,Goias,Julho,332,01-01-2000
2037,2001,Goias,Julho,371,01-01-2001
2038,2002,Goias,Julho,686,01-01-2002
2039,2003,Goias,Julho,322,01-01-2003
2040,2004,Goias,Julho,778,01-01-2004
2041,2005,Goias,Julho,363,01-01-2005
2042,2006,Goias,Julho,169,01-01-2006
2043,2007,Goias,Julho,399,01-01-2007
2044,2008,Goias,Julho,193,01-01-2008
2045,2009,Goias,Julho,470,01-01-2009
2046,2010,Goias,Julho,941,01-01-2010
2047,2011,Goias,Julho,607,01-01-2011
2048,2012,Goias,Julho,564,01-01-2012
2049,2013,Goias,Julho,350,01-01-2013
2050,2014,Goias,Julho,446,01-01-2014
2051,2015,Goias,Julho,347,01-01-2015
2052,2016,Goias,Julho,837,01-01-2016
2053,2017,Goias,Julho,577,01-01-2017
2054,1998,Goias,Agosto,2.218,01-01-1998
2055,1999,Goias,Agosto,1.198,01-01-1999
2056,2000,Goias,Agosto,925,01-01-2000
2057,2001,Goias,Agosto,787,01-01-2001
2058,2002,Goias,Agosto,1.428,01-01-2002
2059,2003,Goias,Agosto,902,01-01-2003
2060,2004,Goias,Agosto,1.498,01-01-2004
2061,2005,Goias,Agosto,639,01-01-2005
2062,2006,Goias,Agosto,588,01-01-2006
2063,2007,Goias,Agosto,2.382,01-01-2007
2064,2008,Goias,Agosto,568,01-01-2008
2065,2009,Goias,Agosto,647,01-01-2009
2066,2010,Goias,Agosto,2.914,01-01-2010
2067,2011,Goias,Agosto,1.613,01-01-2011
2068,2012,Goias,Agosto,912,01-01-2012
2069,2013,Goias,Agosto,488,01-01-2013
2070,2014,Goias,Agosto,1.255,01-01-2014
2071,2015,Goias,Agosto,943,01-01-2015
2072,2016,Goias,Agosto,1.032,01-01-2016
2073,2017,Goias,Agosto,1.492,01-01-2017
2074,1998,Goias,Setembro,2.867,01-01-1998
2075,1999,Goias,Setembro,1.898,01-01-1999
2076,2000,Goias,Setembro,1.293,01-01-2000
2077,2001,Goias,Setembro,1.863,01-01-2001
2078,2002,Goias,Setembro,3.52,01-01-2002
2079,2003,Goias,Setembro,1.662,01-01-2003
2080,2004,Goias,Setembro,2.965,01-01-2004
2081,2005,Goias,Setembro,1.341,01-01-2005
2082,2006,Goias,Setembro,1.463,01-01-2006
2083,2007,Goias,Setembro,3.745,01-01-2007
2084,2008,Goias,Setembro,1.255,01-01-2008
2085,2009,Goias,Setembro,685,01-01-2009
2086,2010,Goias,Setembro,5.075,01-01-2010
2087,2011,Goias,Setembro,2.259,01-01-2011
2088,2012,Goias,Setembro,2.452,01-01-2012
2089,2013,Goias,Setembro,684,01-01-2013
2090,2014,Goias,Setembro,1.687,01-01-2014
2091,2015,Goias,Setembro,2.296,01-01-2015
2092,2016,Goias,Setembro,1.703,01-01-2016
2093,2017,Goias,Setembro,3.238,01-01-2017
2094,1998,Goias,Outubro,1.034,01-01-1998
2095,1999,Goias,Outubro,743,01-01-1999
2096,2000,Goias,Outubro,905,01-01-2000
2097,2001,Goias,Outubro,479,01-01-2001
2098,2002,Goias,Outubro,1.367,01-01-2002
2099,2003,Goias,Outubro,1.183,01-01-2003
2100,2004,Goias,Outubro,1.275,01-01-2004
2101,2005,Goias,Outubro,1.717,01-01-2005
2102,2006,Goias,Outubro,178,01-01-2006
2103,2007,Goias,Outubro,1.195,01-01-2007
2104,2008,Goias,Outubro,1.231,01-01-2008
2105,2009,Goias,Outubro,367,01-01-2009
2106,2010,Goias,Outubro,1.227,01-01-2010
2107,2011,Goias,Outubro,476,01-01-2011
2108,2012,Goias,Outubro,1.524,01-01-2012
2109,2013,Goias,Outubro,606,01-01-2013
2110,2014,Goias,Outubro,1.947,01-01-2014
2111,2015,Goias,Outubro,1.807,01-01-2015
2112,2016,Goias,Outubro,522,01-01-2016
2113,2017,Goias,Outubro,2.401,01-01-2017
2114,1998,Goias,Novembro,47,01-01-1998
2115,1999,Goias,Novembro,110,01-01-1999
2116,2000,Goias,Novembro,26,01-01-2000
2117,2001,Goias,Novembro,15,01-01-2001
2118,2002,Goias,Novembro,192,01-01-2002
2119,2003,Goias,Novembro,168,01-01-2003
2120,2004,Goias,Novembro,291,01-01-2004
2121,2005,Goias,Novembro,144,01-01-2005
2122,2006,Goias,Novembro,91,01-01-2006
2123,2007,Goias,Novembro,79,01-01-2007
2124,2008,Goias,Novembro,90,01-01-2008
2125,2009,Goias,Novembro,89,01-01-2009
2126,2010,Goias,Novembro,67,01-01-2010
2127,2011,Goias,Novembro,59,01-01-2011
2128,2012,Goias,Novembro,57,01-01-2012
2129,2013,Goias,Novembro,183,01-01-2013
2130,2014,Goias,Novembro,181,01-01-2014
2131,2015,Goias,Novembro,547,01-01-2015
2132,2016,Goias,Novembro,123,01-01-2016
2133,2017,Goias,Novembro,117,01-01-2017
2134,1998,Goias,Dezembro,13,01-01-1998
2135,1999,Goias,Dezembro,20,01-01-1999
2136,2000,Goias,Dezembro,6,01-01-2000
2137,2001,Goias,Dezembro,18,01-01-2001
2138,2002,Goias,Dezembro,115,01-01-2002
2139,2003,Goias,Dezembro,129,01-01-2003
2140,2004,Goias,Dezembro,56,01-01-2004
2141,2005,Goias,Dezembro,5,01-01-2005
2142,2006,Goias,Dezembro,7,01-01-2006
2143,2007,Goias,Dezembro,16,01-01-2007
2144,2008,Goias,Dezembro,6,01-01-2008
2145,2009,Goias,Dezembro,39,01-01-2009
2146,2010,Goias,Dezembro,48,01-01-2010
2147,2011,Goias,Dezembro,39,01-01-2011
2148,2012,Goias,Dezembro,93,01-01-2012
2149,2013,Goias,Dezembro,86,01-01-2013
2150,2014,Goias,Dezembro,68,01-01-2014
2151,2015,Goias,Dezembro,179,01-01-2015
2152,2016,Goias,Dezembro,64,01-01-2016
2153,1998,Maranhao,Janeiro,0,01-01-1998
2154,1999,Maranhao,Janeiro,54,01-01-1999
2155,2000,Maranhao,Janeiro,19,01-01-2000
2156,2001,Maranhao,Janeiro,29,01-01-2001
2157,2002,Maranhao,Janeiro,48,01-01-2002
2158,2003,Maranhao,Janeiro,436,01-01-2003
2159,2004,Maranhao,Janeiro,241,01-01-2004
2160,2005,Maranhao,Janeiro,450,01-01-2005
2161,2006,Maranhao,Janeiro,221,01-01-2006
2162,2007,Maranhao,Janeiro,428,01-01-2007
2163,2008,Maranhao,Janeiro,121,01-01-2008
2164,2009,Maranhao,Janeiro,240,01-01-2009
2165,2010,Maranhao,Janeiro,319,01-01-2010
2166,2011,Maranhao,Janeiro,124,01-01-2011
2167,2012,Maranhao,Janeiro,326,01-01-2012
2168,2013,Maranhao,Janeiro,209,01-01-2013
2169,2014,Maranhao,Janeiro,195,01-01-2014
2170,2015,Maranhao,Janeiro,494,01-01-2015
2171,2016,Maranhao,Janeiro,412,01-01-2016
2172,2017,Maranhao,Janeiro,187,01-01-2017
2173,1998,Maranhao,Fevereiro,0,01-01-1998
2174,1999,Maranhao,Fevereiro,6,01-01-1999
2175,2000,Maranhao,Fevereiro,11,01-01-2000
2176,2001,Maranhao,Fevereiro,1,01-01-2001
2177,2002,Maranhao,Fevereiro,116,01-01-2002
2178,2003,Maranhao,Fevereiro,11,01-01-2003
2179,2004,Maranhao,Fevereiro,22,01-01-2004
2180,2005,Maranhao,Fevereiro,56,01-01-2005
2181,2006,Maranhao,Fevereiro,22,01-01-2006
2182,2007,Maranhao,Fevereiro,13,01-01-2007
2183,2008,Maranhao,Fevereiro,45,01-01-2008
2184,2009,Maranhao,Fevereiro,20,01-01-2009
2185,2010,Maranhao,Fevereiro,93,01-01-2010
2186,2011,Maranhao,Fevereiro,9,01-01-2011
2187,2012,Maranhao,Fevereiro,46,01-01-2012
2188,2013,Maranhao,Fevereiro,62,01-01-2013
2189,2014,Maranhao,Fevereiro,29,01-01-2014
2190,2015,Maranhao,Fevereiro,95,01-01-2015
2191,2016,Maranhao,Fevereiro,318,01-01-2016
2192,2017,Maranhao,Fevereiro,47,01-01-2017
2193,1998,Maranhao,Março,0,01-01-1998
2194,1999,Maranhao,Março,17,01-01-1999
2195,2000,Maranhao,Março,6,01-01-2000
2196,2001,Maranhao,Março,0,01-01-2001
2197,2002,Maranhao,Março,16,01-01-2002
2198,2003,Maranhao,Março,16,01-01-2003
2199,2004,Maranhao,Março,18,01-01-2004
2200,2005,Maranhao,Março,9,01-01-2005
2201,2006,Maranhao,Março,14,01-01-2006
2202,2007,Maranhao,Março,52,01-01-2007
2203,2008,Maranhao,Março,4,01-01-2008
2204,2009,Maranhao,Março,33,01-01-2009
2205,2010,Maranhao,Março,82,01-01-2010
2206,2011,Maranhao,Março,22,01-01-2011
2207,2012,Maranhao,Março,49,01-01-2012
2208,2013,Maranhao,Março,30,01-01-2013
2209,2014,Maranhao,Março,59,01-01-2014
2210,2015,Maranhao,Março,53,01-01-2015
2211,2016,Maranhao,Março,113,01-01-2016
2212,2017,Maranhao,Março,32,01-01-2017
2213,1998,Maranhao,Abril,0,01-01-1998
2214,1999,Maranhao,Abril,4,01-01-1999
2215,2000,Maranhao,Abril,6,01-01-2000
2216,2001,Maranhao,Abril,2,01-01-2001
2217,2002,Maranhao,Abril,28,01-01-2002
2218,2003,Maranhao,Abril,79,01-01-2003
2219,2004,Maranhao,Abril,44,01-01-2004
2220,2005,Maranhao,Abril,43,01-01-2005
2221,2006,Maranhao,Abril,9,01-01-2006
2222,2007,Maranhao,Abril,5,01-01-2007
2223,2008,Maranhao,Abril,26,01-01-2008
2224,2009,Maranhao,Abril,14,01-01-2009
2225,2010,Maranhao,Abril,128,01-01-2010
2226,2011,Maranhao,Abril,37,01-01-2011
2227,2012,Maranhao,Abril,97,01-01-2012
2228,2013,Maranhao,Abril,62,01-01-2013
2229,2014,Maranhao,Abril,78,01-01-2014
2230,2015,Maranhao,Abril,119,01-01-2015
2231,2016,Maranhao,Abril,113,01-01-2016
2232,2017,Maranhao,Abril,91,01-01-2017
2233,1998,Maranhao,Maio,0,01-01-1998
2234,1999,Maranhao,Maio,3,01-01-1999
2235,2000,Maranhao,Maio,28,01-01-2000
2236,2001,Maranhao,Maio,21,01-01-2001
2237,2002,Maranhao,Maio,71,01-01-2002
2238,2003,Maranhao,Maio,60,01-01-2003
2239,2004,Maranhao,Maio,145,01-01-2004
2240,2005,Maranhao,Maio,74,01-01-2005
2241,2006,Maranhao,Maio,5,01-01-2006
2242,2007,Maranhao,Maio,73,01-01-2007
2243,2008,Maranhao,Maio,26,01-01-2008
2244,2009,Maranhao,Maio,19,01-01-2009
2245,2010,Maranhao,Maio,273,01-01-2010
2246,2011,Maranhao,Maio,73,01-01-2011
2247,2012,Maranhao,Maio,286,01-01-2012
2248,2013,Maranhao,Maio,100,01-01-2013
2249,2014,Maranhao,Maio,148,01-01-2014
2250,2015,Maranhao,Maio,194,01-01-2015
2251,2016,Maranhao,Maio,206,01-01-2016
2252,2017,Maranhao,Maio,142,01-01-2017
2253,1998,Maranhao,Junho,78,01-01-1998
2254,1999,Maranhao,Junho,32,01-01-1999
2255,2000,Maranhao,Junho,94,01-01-2000
2256,2001,Maranhao,Junho,100,01-01-2001
2257,2002,Maranhao,Junho,230,01-01-2002
2258,2003,Maranhao,Junho,338,01-01-2003
2259,2004,Maranhao,Junho,706,01-01-2004
2260,2005,Maranhao,Junho,529,01-01-2005
2261,2006,Maranhao,Junho,131,01-01-2006
2262,2007,Maranhao,Junho,515,01-01-2007
2263,2008,Maranhao,Junho,235,01-01-2008
2264,2009,Maranhao,Junho,279,01-01-2009
2265,2010,Maranhao,Junho,494,01-01-2010
2266,2011,Maranhao,Junho,602,01-01-2011
2267,2012,Maranhao,Junho,915,01-01-2012
2268,2013,Maranhao,Junho,498,01-01-2013
2269,2014,Maranhao,Junho,812,01-01-2014
2270,2015,Maranhao,Junho,887,01-01-2015
2271,2016,Maranhao,Junho,709,01-01-2016
2272,2017,Maranhao,Junho,885,01-01-2017
2273,1998,Maranhao,Julho,274,01-01-1998
2274,1999,Maranhao,Julho,258,01-01-1999
2275,2000,Maranhao,Julho,233,01-01-2000
2276,2001,Maranhao,Julho,549,01-01-2001
2277,2002,Maranhao,Julho,1.271,01-01-2002
2278,2003,Maranhao,Julho,1.103,01-01-2003
2279,2004,Maranhao,Julho,1.366,01-01-2004
2280,2005,Maranhao,Julho,1.152,01-01-2005
2281,2006,Maranhao,Julho,512,01-01-2006
2282,2007,Maranhao,Julho,1.205,01-01-2007
2283,2008,Maranhao,Julho,502,01-01-2008
2284,2009,Maranhao,Julho,972,01-01-2009
2285,2010,Maranhao,Julho,2.323,01-01-2010
2286,2011,Maranhao,Julho,1.024,01-01-2011
2287,2012,Maranhao,Julho,3.548,01-01-2012
2288,2013,Maranhao,Julho,1.111,01-01-2013
2289,2014,Maranhao,Julho,2.068,01-01-2014
2290,2015,Maranhao,Julho,1.642,01-01-2015
2291,2016,Maranhao,Julho,2.096,01-01-2016
2292,2017,Maranhao,Julho,2.521,01-01-2017
2293,1998,Maranhao,Agosto,1.176,01-01-1998
2294,1999,Maranhao,Agosto,895,01-01-1999
2295,2000,Maranhao,Agosto,839,01-01-2000
2296,2001,Maranhao,Agosto,2.037,01-01-2001
2297,2002,Maranhao,Agosto,3.481,01-01-2002
2298,2003,Maranhao,Agosto,2.023,01-01-2003
2299,2004,Maranhao,Agosto,1.889,01-01-2004
2300,2005,Maranhao,Agosto,2.239,01-01-2005
2301,2006,Maranhao,Agosto,1.382,01-01-2006
2302,2007,Maranhao,Agosto,8.409,01-01-2007
2303,2008,Maranhao,Agosto,713,01-01-2008
2304,2009,Maranhao,Agosto,1.766,01-01-2009
2305,2010,Maranhao,Agosto,6.353,01-01-2010
2306,2011,Maranhao,Agosto,2.138,01-01-2011
